Expt.,SLN
0.22,O=C(CH2C(=O)CH3)CH3
-1.28,O=C(CH3)C[7]=CHCH=CHCH=CH@7
-0.24,O(C(CH3)(CH3)CH3)CH3
-0.88,O=C(CH(CH2CH2CH3)C(=O)CH3)CH3
-5.24,O(CH2C[5]=CHC(=CHCH=CH@5)OC[16]=CHCH=CHCH=CH@16)C(=O)C[29]HC(CH@29CH=C(CH3)CH3)(CH3)CH3
-2.46,O(CH2CH2CH2CH2CH2CH3)C(=O)CH3
-1.89,O(CH2CH2CH2CH2CH3)C(=O)CH3
-1.85,O(CH2CH2CH2CH3)CH2CH2CH2CH3
-0.99,O(CH2CH2CH2CH3)CH3
-5.64,O(CH2CH2CH2CH3)C(=O)C[17]=C(CH=CHCH=CH@17)C(=O)OCH2C[33]=CHCH=CHCH=CH@33
-4.4,O(CH2CH2CH2CH3)C(=O)C[17]=C(CH=CHCH=CH@17)C(=O)OCH2CH2CH2CH3
-2.72,O(CH2CH2CH2CH3)C(=O)C[17]=CHCH=C(CH=CH@17)OH
-3.48,O(CH2CH2CH2CH3)C(=O)C[17]=CHCH=CHCH=CH@17
-1.24,O(CH2CH2CH2CH3)C(=O)CH3
-1.62,O(CH2CH2CH3)CH2CH2CH3
-0.66,O(CH2CH2CH3)CH2CH3
-0.39,O(CH2CH2CH3)CH3
-0.49,O(CH2CH2CH3)CH=O
-1.78,O(CH2CH2CH3)C(=O)C[14]=CHC(=C(C(=CH@14)OH)OH)OH
-2.67,O(CH2CH2CH3)C(=O)C[14]=CHCH=CHCH=CH@14
-1.92,O(CH2CH2CH3)C(=O)CH2CH2CH3
-0.72,O(CH2CH2CH3)C(=O)CH3
-3.16,O(CH2CH2CH(CH3)CH3)C(=O)C[20]=C(CH=CHCH=CH@20)OH
-1.92,O(CH2CH2CH(CH3)CH3)C(=O)CH3
-0.77,O(CH2CH2OCH2CH3)CH2CH3
-0.71,O(CH2CH2OH)C[10]=CHCH=CHCH=CH@10
-0.42,O(CH2CH2OH)CH2CH2CH2CH3
-2.33,O(CH2CH3)C[9]=CHCH=CHCH=CH@9
-0.09,O(CH2CH3)CH2CH3
-0.85,O(CH2CH3)CH=CH2
0.15,O(CH2CH3)CH=O
-2.35,O(CH2CH3)C(=O)C[11]=C(CH=CHCH=CH@11)C(=O)OCH2CH3
-2.35,O(CH2CH3)C(=O)C[11]=CHCH=C(CH=CH@11)OH
-2.32,O(CH2CH3)C(=O)C[11]=CHCH=CHCH=CH@11
-4.1,O(CH2CH3)C(=O)CH2CH2CH2CH2CH2CH2CH2CH2CH3
-3.8,O(CH2CH3)C(=O)CH2CH2CH2CH2CH2CH2CH2CH3
-3.39,O(CH2CH3)C(=O)CH2CH2CH2CH2CH2CH2CH3
-2.71,O(CH2CH3)C(=O)CH2CH2CH2CH2CH2CH3
-2.31,O(CH2CH3)C(=O)CH2CH2CH2CH2CH3
-1.75,O(CH2CH3)C(=O)CH2CH2CH2CH3
-1.28,O(CH2CH3)C(=O)CH2CH2CH3
-0.96,O(CH2CH3)C(=O)CH2CH2C(=O)OCH2CH3
-0.66,O(CH2CH3)C(=O)CH2CH3
-0.82,O(CH2CH3)C(=O)CH2C(=O)OCH2CH3
-0.04,O(CH2CH3)C(=O)CH3
-0.74,O(CH2CH3)C(=O)CH=CH2
-3,O(CH2CH3)C(=O)CH=[S=N]CHC[15]=CHCH=CHCH=CH@15
-3,O(CH2CH3)C(=O)CH=[S=I]CHC[15]=CHCH=CHCH=CH@15
-6.96,O(CH2CH(CH2CH2CH2CH3)CH2CH3)C(=O)C[29]=C(CH=CHCH=CH@29)C(=O)OCH2CH(CH2CH2CH2CH3)CH2CH3
-3.13,O(CH2CH=CH2)C(=O)C[12]=C(CH=CHCH=CH@12)C(=O)OCH2CH=CH2
-1.01,O(CH2CH(CH3)CH3)CH=O
-4.66,O(CH2CH(CH3)CH3)C(=O)C[17]=C(CH=CHCH=CH@17)C(=O)OCH2CH(CH3)CH3
-1.21,O(CH2CH(CH3)CH3)C(=O)CH=CH2
-4.63,O(CH2C(=O)C[7]HC[9](CH(C[12]HCH(C[16](CH2CH2C(CH=C@16CH2CH2@12)=O)CH3)CH2CH2@9)CH2CH2@7)CH3)C(=O)CH3
-1.1,O(CH2C(=O)OH)C[9]=CHCH=CHCH=CH@9
0.48,O(CH2OCH3)CH3
-1.92,O(CH3)C[6]=C(CH=CHC(=C@6C(=O)OH)CH=O)OCH3
-1.56,O(CH3)C[6]=C(CH=CHC(=CH@6)CH2CH=CH2)OH
-2.05,O(CH3)C[6]=C(CH=CHC(=CH@6)C(=O)OH)OH
-1.96,O(CH3)C[6]=C(CH=CHCH=CH@6)OH
-4.16,O(CH3)C[6]=CHC[9]=C(CH=C(CH=CH@9)CH(CH3)C(=O)OH)CH=CH@6
-2.92,O(CH3)C[6]=CHCH=C(CH=CH@6)CH2CH=CH2
-1.49,O(CH3)C[6]=CHCH=C(CH=CH@6)CH=O
-3.13,O(CH3)C[6]=CHCH=C(CH=CH@6)CH=[S=N]CHCH3
-3.13,O(CH3)C[6]=CHCH=C(CH=CH@6)CH=[S=I]CHCH3
-2.41,O(CH3)C[6]=CHCH=C(CH=CH@6)C(=O)OCH3
-1.85,O(CH3)C[6]=CHCH=CHCH=CH@6
0.58,O(CH3)CH=O
-1.66,O(CH3)C(=O)C[8]=C(CH=CHCH=CH@8)C(=O)OCH3
-2.34,O(CH3)C(=O)C[8]=C(CH=CHCH=CH@8)OH
-1.24,O(CH3)C(=O)C[8]=CHC(=C(C(=CH@8)OH)OH)OH
-1.78,O(CH3)C(=O)C[8]=CHCH=C(CH=CH@8)OH
-1.85,O(CH3)C(=O)C[8]=CHCH=CHCH=CH@8
-1.2,O(CH3)C(=O)C[8]HC[10]HCH2CH(CH@8C(=O)OCH3)CH=CH@10
-0.8,O(CH3)C(=O)C(=CH2)CH3
-4.69,O(CH3)C(=O)CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3
-4.63,O(CH3)C(=O)CH2CH2CH2CH2CH2CH2CH2CH2CH3
-3.39,O(CH3)C(=O)CH2CH2CH2CH2CH2CH2CH3
-2,O(CH3)C(=O)CH2CH2CH2CH2CH3
-1.36,O(CH3)C(=O)CH2CH2CH2CH3
-0.82,O(CH3)C(=O)CH2CH2CH3
-0.14,O(CH3)C(=O)CH2CH3
0.52,O(CH3)C(=O)CH3
-0.22,O(CH3)C(=O)CH=CH2
-1.19,O=CHC[4]=CHCH=CHCH=CH@4
-3.17,O=CHCH2CH2CH2CH2CH2CH2CH2CH3
-2.36,O=CHCH2CH2CH2CH2CH2CH2CH3
-1.7,O=CHCH2CH2CH2CH2CH2CH3
-1.3,O=CHCH2CH2CH2CH2CH3
-0.85,O=CHCH2CH2CH2CH3
-0.01,O=CHCH2CH2CH3
0.58,O=CHCH2CH3
-0.6,O(CH(CH2OC(=O)CH3)CH2OC(=O)CH3)C(=O)CH3
-1.34,O(CH(CH3)CH3)CH2CH2CH3
-0.55,O(CH(CH3)CH3)CH2CH3
-0.06,O(CH(CH3)CH3)CH3
-1.1,O(CH(CH3)CH3)CH(CH3)CH3
-0.55,O(CH(CH3)CH3)C(=O)CH3
0.57,O=CHCH=CH2
0.32,O=CHCH=[S=N]CHCH3
-2.06,O=CHCH=[S=N]C(CH2CH2CH=C(CH3)CH3)CH3
0.32,O=CHCH=[S=I]CHCH3
-0.43,O(CH(OCH2CH3)CH3)CH2CH3
-2.92,OHC[3]C[4]=C(C(=CHCH=CH@4)OH)CH=CHCH=@3
-4.73,OHC[3]=C[4]C(=CHC[8]=C@3CH=CHCH=CH@8)CH=CHCH=CH@4
-2.78,OHC[3]C[4]=C(CH=CHC=@3OH)C(C[14]=C(CH=CHCH=CH@14)C@4=O)=O
-2.22,OHC[3]C[4]=C(CH=CHCH=@3)CH=CHCH=CH@4
-4,OHC[3](C[4](CH(C[7]HCH(C[11](CH2CH2C(CH=C@11CH2CH2@7)=O)CH3)C(CH2@4)=O)CH2CH2@3)CH3)C(=O)CH2OC(=O)CH3
-3.11,OHC[3](C[4](CH(C[7]HCH(C[11](CH2CH2C(CH=C@11CH2CH2@7)=O)CH3)C(CH2@4)=O)CH2CH2@3)CH3)C(=O)CH2OH
-5.66,OHC[3](C[4](CH(C[7]HCH(C[11](CH2CH2C(CH=C@11CH2CH2@7)=O)CH3)CH2CH2@4)CH2CH2@3)CH3)C#CH
-3.99,OHC[3](C[4](CH(C[7]HCH(C[11](CH2CH2C(CH=C@11CH2CH2@7)=O)CH3)CH2CH2@4)CH2CH2@3)CH3)CH3
-4.71,OHC[3](C[4](CH(C[7]HCH(C[11](CH2CH2C(CH=C@11CH2CH2@7)=O)CH3)CH2CH2@4)CH2CH2@3)CH3)C(=O)CH3
-5.51,OHC[3](C[4](CH(C[7]HCH(C[11](CH2CH2C(CH=C@11CH2CH2@7)=O)CH3)CH(CH2@4)OH)CH2CH2@3)CH3)C(=O)CH2OC(=O)CH2C(CH3)(CH3)CH3
-2.97,OHC[3](C[4](CH(C[7]HCH(C[11](CH2CH2C(CH=C@11CH2CH2@7)=O)CH3)CH(CH2@4)OH)CH2CH2@3)CH3)C(=O)CH2OH
-4.57,OHC[3](C[4](CH(C[7]HCH(C[11]HCH2CH2C(CH=C@11CH2CH2@7)=O)CH2CH2@4)CH2CH2@3)CH3)C#CH
-4.3,OHC[3](C[4](CH(C[7]HCH(CH2CH2@4)C[17]=C(CH=C(CH=CH@17)OH)CH2CH2@7)CH2CH2@3)CH3)C#CH
-4.58,OHC[3](C[4](CH(C[7]HCH(CH(CH2@4)OH)C[18](C(=CHC(CH=CH@18)=O)CH2CH2@7)CH3)CH2CH2@3)CH3)C(=O)CH2OC(=O)C(CH3)(CH3)CH3
-4.37,OHC[3](C[4](CH(C[7]HCH(CH(CH2@4)OH)C[18](C(=CHC(CH=CH@18)=O)CH2CH2@7)CH3)CH2CH2@3)CH3)C(=O)CH2OC(=O)CH3
-3.21,OHC[3](C[4](CH(C[7]HCH(CH(CH2@4)OH)C[18](C(=CHC(CH=CH@18)=O)CH2CH2@7)CH3)CH2CH2@3)CH3)C(=O)CH2OH
-2.99,OHC[3](C[4](CH(C[7]HCH(CH(CH2@4)OH)C[18](C(=CHC(CH=CH@18)=O)CH(CH2@7)CH3)CH3)CH2CH2@3)CH3)C(=O)CH2OH
-1.43,OHC[3]=C(C(=CHCH=CH@3)CH3)CH3
-1.16,OHC[3]=C(CH=C(CH=C@3OH)C(=O)OH)OH
-1.19,OHC[3]=C(CH=C(CH=CH@3)CH3)CH3
-1.54,OHC[3]=C(CH=CHC(=CH@3)CH3)CH3
-2.22,OHC[3]=C(CH=CHC(=CH@3)CH3)CH(CH3)CH3
-2.08,OHC[3]=C(CH=CHC(=CH@3)CH(CH3)CH3)CH3
-2.59,OHC[3]=C(CH=CHC(=CH@3)OH)CH2CH2CH2CH2CH2CH3
-1.31,OHC[3]=C(CH=CHCH=C@3CH3)CH3
-2.39,OHC[3]=C(CH=CHCH=CH@3)C[13]=CHCH=CHCH=CH@13
-1.36,OHC[3]=C(CH=CHCH=CH@3)CH2CH3
-0.62,OHC[3]=C(CH=CHCH=CH@3)CH3
-0.86,OHC[3]=C(CH=CHCH=CH@3)CH=O
-1.82,OHC[3]=C(CH=CHCH=CH@3)C(=O)OH
0.62,OHC[3]=C(CH=CHCH=CH@3)OH
-5.24,OHC[3]=CHC[6]=C(C[8]=C(CH=CH@6)C[14]HC(CH2CH2@8)(C(CH2CH2@14)=O)CH3)CH=CH@3
-5.28,OHC[3]=CHC[6]=C(CH=CH@3)C[12]HCH2CH2C[20](CH(CH2CH2C@20=O)C@12=CHCH2@6)CH3
-3.96,OHC[3]=CHC[6]=C(CH=CH@3)C[12]HCH(C[16]HC(CH2CH2@12)(C(CH2CH2@16)=O)CH3)CH2CH2@6
-1.99,OHC[3]=CHC[6]=C(CH=CH@3)CH2CH2CH2CH2@6
-2.28,OHC[3]=CHC[6]=C(CH=CH@3)CH=CHCH=CH@6
-1.41,OHC[3]=CHC(=C(CH=CH@3)CH3)CH3
-1.4,OHC[3]=CHC(=CHC(=CH@3)CH3)CH3
-0.68,OHC[3]=CHC(=CHCH=CH@3)CH3
0.81,OHC[3]=CHC(=CHCH=CH@3)OH
-3.48,OHC[3]=CHCH=C(CH=CH@3)C[13]=CHCH=CHCH=CH@13
-2.82,OHC[3]=CHCH=C(CH=CH@3)C(CH3)(CH3)C[22]=CHCH=C(CH=CH@22)OH
-2.41,OHC[3]=CHCH=C(CH=CH@3)C(CH3)(CH3)CH3
-0.7,OHC[3]=CHCH=C(CH=CH@3)CH3
-4.95,OHC[3]=CHCH=C(CH=CH@3)CH(CH(C[17]=CHCH=C(CH=CH@17)OH)CH=CH2)CH=CH2
-4.43,OHC[3]=CHCH=C(CH=CH@3)CH(CH(CH2CH3)C[24]=CHCH=C(CH=CH@24)OH)CH2CH3
-0.96,OHC[3]=CHCH=C(CH=CH@3)CH=O
-1.41,OHC[3]=CHCH=C(CH=CH@3)C(=O)OH
-4.07,OHC[3]=CHCH=C(CH=CH@3)C(=[S=I]C(CH2CH3)C[22]=CHCH=C(CH=CH@22)OH)CH2CH3
-4.35,OHC[3]=CHCH=C(CH=CH@3)C(=[S=N]C(CH2CH3)C[22]=CHCH=C(CH=CH@22)OH)CH2CH3
-0.17,OHC[3]=CHCH=C(CH=CH@3)OH
0,OHC[3]=CHCH=CHCH=CH@3
-1.73,OHC[3](CH=CHC(CH=CH@3)=O)C[14]=C(CH=CHC(=CH@14)OH)OH
-2.32,OHC[3]HC[5](C(CH(CH2@3)CH2CH2@5)(CH3)CH3)CH3
-4.02,OHC[3]HC[5](CH(C[8]HCH(C[12](CH2CH2C(CH=C@12CH2CH2@8)=O)CH3)CH2CH2@5)CH2CH2@3)CH3
-3.37,OHC[3]HC[5](CH(C[8]HCH(C[12](CH(CH2CH@8OH)CH2CH(CH2CH2@12)OH)CH3)CH2@3)CH2CH2CH@5CH(CH2CH2C(=O)OH)CH3)CH3
-3.95,OHC[3]HC[5](CH(C[8]HCH(C[12](CH(CH2CH(CH2CH2@12)OH)CH2CH2@8)CH3)CH2@3)CH2CH2CH@5CH(CH2CH2C(=O)OH)CH3)CH3
-4.35,OHC[3]HC[5](CH(C[8]HCH(C[12](CH(CH(CH2@8)OH)CH2CH(CH2CH2@12)OH)CH3)CH2@3)CH2CH2CH@5CH(CH2CH2C(=O)OH)CH3)CH3
-4.84,OHC[3]HC[5](CH(C[8]HCH(CH2CH2@5)C[18]=C(CH=C(CH=CH@18)OH)CH2CH2@8)CH2CH2@3)CH3
-3.59,OHC[3]HC[5]HC[7](CH(CH2CH(CH2CH2@7)OH)CH2CH2CH@5C[31]HC(CH2@3)(C(CH2CH2@31)=O)CH3)CH3
-3.82,OHC[3]HC[5]HC(C[8]HCH(C[12]HC(CH(CH2CH2@12)CH(CH2CH2C(=O)OH)CH3)(CH2CH2@8)CH3)CH2@3)(CH2CH2CH(CH2@5)OH)CH3
-4.35,OHC[3]HC[5]HC(C[8]HCH(C[12]HC(CH(CH2CH2@12)CH(CH2CH2C(=O)OH)CH3)(CH2CH2@8)CH3)CH@3OH)(CH2CH2CH(CH2@5)OH)CH3
-3.64,OHC[3]HC[5]HCH(C[9](CH(CH2@3)CH2CH(CH2CH2@9)OH)CH3)CH2CH2C[38](CH@5CH2CH2CH@38CH(CH2CH2C(=O)OH)CH3)CH3
-4.16,OHC[3]HCH2C[8]HC(C[11]HCH(C[15]HC(CH2CH2@11)(C(CH2CH2@15)=O)CH3)CH2CH2@8)(CH2CH2@3)CH3
-4.12,OHC[3]HCH2CH2C[11](C[12]HCH(C[16]HC(CH2CH2@12)(C(CH2CH2@16)=O)CH3)CH2CH=C@11CH2@3)CH3
-4.65,OHC[3]HCH2CH2C[11](C[12]HCH(C[16]HC(CH(CH2CH2@16)C(=O)CH3)(CH2CH2@12)CH3)CH2CH=C@11CH2@3)CH3
-0.44,OHC[3]HCH2CH2CH2CH2CH2@3
-0.88,OHC[3]HCH2CH2CH(CH2CH2@3)CH3
-2.53,OHC[3]HCH(CH2CH2CH(CH2@3)CH3)CH(CH3)CH3
-2.47,OHC[3]HCH(CH(C(CH2@3)=O)CH2CH=[S=N]CHCH2CH2CH2C(=O)OH)CH=[S=N]CHCH(OH)CH2CH2CH2CH2CH3
-0.17,OHC[3]HCH(CH(CH2CH(CH@3OH)OH)OH)OH
0.35,OHC[3]HCH(CH(CH(CH(CH@3OH)OH)OH)OH)OH
-2.21,OHC(C[4]=CHCH=CHCH=CH@4)(C[15]=CHCH=CHCH=CH@15)C(=O)OH
-1.27,OHC(C(CH3)(CH3)CH3)(CH2CH3)CH3
-0.72,OHC(C(CH3)(CH3)CH3)(CH3)CH3
-1.72,OHC(CH2CH2CH2CH2CH3)(CH3)CH3
-1.6,OHC(CH2CH2CH2CH3)(CH2CH3)CH3
-1.08,OHC(CH2CH2CH2CH3)(CH3)CH3
-1,OHC(CH2CH2CH3)(CH2CH3)CH3
-0.49,OHC(CH2CH2CH3)(CH3)CH3
-1.99,OHC(CH2CH2CH=C(CH3)CH3)(CH3)CH=CH2
-0.85,OHC(CH2CH3)(CH2CH3)CH2CH3
-0.38,OHC(CH2CH3)(CH2CH3)CH3
0.08,OHC(CH2CH3)(CH3)CH3
-0.92,OHC(CH2CH(CH3)CH3)(CH3)CH3
0.51,OHC(CH2C(=O)OH)(CH2C(=O)OH)C(=O)OH
-0.89,OHC(CH(CH2CH3)CH3)(CH3)CH3
-0.85,OHC(CH(CH3)CH3)(CH2CH3)CH3
-0.41,OHC(CH(CH3)CH3)(CH3)CH3
-0.29,OHCH2C[6]=C(CH=CHCH=CH@6)OH
-1.2,OHCH2C[6]=CHCH=C(CH=CH@6)CH3
-0.4,OHCH2C[6]=CHCH=CHCH=CH@6
-1.52,OHCH2C(CH2CH2CH3)(CH3)CH3
-1.04,OHCH2C(CH2CH3)(CH3)CH3
-0.4,OHCH2C(CH3)(CH3)CH3
-0.74,OHCH2CH2C[9]=CHCH=CHCH=CH@9
-0.5,OHCH2CH2C(CH3)(CH3)CH3
-1.38,OHCH2CH2CH2C[12]=CHCH=CHCH=CH@12
-1.55,OHCH2CH2CH2C(CH3)(CH3)CH3
-7.26,OHCH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3
-6.05,OHCH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3
-4.67,OHCH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3
-3.63,OHCH2CH2CH2CH2CH2CH2CH2CH2CH2CH3
-3.01,OHCH2CH2CH2CH2CH2CH2CH2CH2CH3
-2.39,OHCH2CH2CH2CH2CH2CH2CH2CH3
-1.81,OHCH2CH2CH2CH2CH2CH2CH3
-1.24,OHCH2CH2CH2CH2CH2CH3
-0.6,OHCH2CH2CH2CH2CH3
0,OHCH2CH2CH2CH3
-1.14,OHCH2CH2CH2CH(CH3)CH3
-0.52,OHCH2CH2CH(CH3)CH3
-0.93,OHCH2CH(C[8]=CHCH=CHCH=CH@8)C(=O)OH
-2.11,OHCH2CH(CH2CH2CH2CH3)CH2CH3
-1.11,OHCH2CH(CH2CH2CH3)CH3
-1.17,OHCH2CH(CH2CH3)CH2CH3
-0.47,OHCH2CH(CH2CH3)CH3
-1.6,OHCH2CH(CH2CH(CH3)CH3)CH3
0.04,OHCH2CH(CH3)CH3
-0.39,OHCH2CH(CH(CH3)CH3)CH3
-2.46,OHCH2CH=[S=I]C(CH2CH2CH=C(CH3)CH3)CH3
-3.75,OHCH2C(=O)C[8]HC[10](CH(C[13]HCH(C[17](CH2CH2C(CH=C@17CH2CH2@13)=O)CH3)CH2CH2@10)CH2CH2@8)CH3
-2.55,OHCH(C[5]=CHCH=CHCH=CH@5)C[16]=CHCH=CHCH=CH@16
-1.15,OHCH(C(CH3)(CH3)CH3)CH2CH3
-0.62,OHCH(C(CH3)(CH3)CH3)CH3
-2.52,OHCH(CH2C[8]=CHCH=CHCH=CH@8)C[19]=CHCH=CHCH=CH@19
-2.09,OHCH(CH2CH2CH2CH2CH2CH3)CH3
-1.55,OHCH(CH2CH2CH2CH2CH3)CH3
-1.47,OHCH(CH2CH2CH2CH3)CH2CH3
-0.89,OHCH(CH2CH2CH2CH3)CH3
-1.4,OHCH(CH2CH2CH3)CH2CH2CH3
-0.8,OHCH(CH2CH2CH3)CH2CH3
-0.29,OHCH(CH2CH2CH3)CH3
-1.38,OHCH(CH2CH2CH(CH3)CH3)CH3
-0.24,OHCH(CH2CH3)CH2CH3
0.43,OHCH(CH2CH3)CH3
-0.8,OHCH(CH2CH(CH3)CH3)CH3
1.12,OHCH(CH2OH)CH2OH
-0.92,OHCH(CH3)C[9]=CHCH=CHCH=CH@9
-1.72,OHCH(CH(CH2CH2CH2CH3)CH3)CH3
-0.72,OHCH(CH(CH2CH3)CH3)CH3
-0.54,OHCH(CH(CH2OH)CH2CH3)CH2CH2CH3
-0.7,OHCH(CH(CH3)CH3)CH2CH3
-0.2,OHCH(CH(CH3)CH3)CH3
-1.93,OHCH(CH(OH)C[9]=CHCH=CHCH=CH@9)C[20]=CHCH=CHCH=CH@20
0.7,OHCH(CH(OH)CH2OH)CH2OH
1.09,OHCH(CH(OH)CH(OH)CH2OH)CH(OH)CH2OH
-3.8,OHC(=O)C[5](C[6]HC(C[9]HCH2CH2C(=CHC@9=CHCH2@6)CH(CH3)CH3)(CH2CH2CH2@5)CH3)CH3
-1.42,OHC(=O)C[5](C(CH(CH2CH2@5)C(=O)OH)(CH3)CH3)CH3
-2.28,OHC(=O)C[5]=C(CH=CHCH=CH@5)C[15]=C(CH=CHCH=CH@15)C(=O)OH
-2.06,OHC(=O)C[5]=C(CH=CHCH=CH@5)CH3
-2.11,OHC(=O)C[5]=C(CH=CHCH=CH@5)C(=O)OH
-2.14,OHC(=O)C[5]=CHC(=CHCH=CH@5)CH3
-2.6,OHC(=O)C[5]=CHCH=C(CH=CH@5)CH3
-1.55,OHC(=O)C[5]=CHCH=CHCH=CH@5
-1.45,OHC(=O)C[5]HCH2CH2CH2CH2CH2@5
-0.29,OHC(=O)C(C(CH3)(CH3)C(=O)OH)(CH2C(=O)OH)CH3
-2.06,OHC(=O)C(=CH2)C[9]=CHCH=CHCH=CH@9
0.01,OHC(=O)C(=CH2)CH3
-2.65,OHC(=O)CH2C[8]C[9]=C(CH=CHCH=@8)CH=CHCH=CH@9
-0.89,OHC(=O)CH2C[8]=CHCH=CHCH=CH@8
-1.41,OHC(=O)CH2CH2C[11]=CHCH=CHCH=CH@11
-5.68,OHC(=O)CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3
-6.81,OHC(=O)CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3
-4.31,OHC(=O)CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3
-5.33,OHC(=O)CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3
-4.62,OHC(=O)CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3
-3.55,OHC(=O)CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3
-3.44,OHC(=O)CH2CH2CH2CH2CH2CH2CH2CH2CH3
-3.4,OHC(=O)CH2CH2CH2CH2CH2CH2CH2CH2CH=CH2
-2.75,OHC(=O)CH2CH2CH2CH2CH2CH2CH2CH3
-1.89,OHC(=O)CH2CH2CH2CH2CH2CH2CH2C(=O)OH
-2.3,OHC(=O)CH2CH2CH2CH2CH2CH2CH3
-1.06,OHC(=O)CH2CH2CH2CH2CH3
-0.82,OHC(=O)CH2CH2CH2CH2C(=O)OH
1,OHC(=O)CH2CH2CH2C(=O)OH
-0.19,OHC(=O)CH2CH2CH3
-5.06,OHC(=O)CH2CH2C(=O)C[13]=CHCH=C(CH=CH@13)C[23]=CHCH=CHCH=CH@23
-0.2,OHC(=O)CH2CH2C(=O)OH
1.22,OHC(=O)CH3
-3.22,OHC(=O)CH(C[7]=CHCH=CHCH=CH@7)C[18]=CHCH=CHCH=CH@18
-1.86,OHC(=O)CH(CH2CH2CH3)CH2CH2CH3
-0.81,OHC(=O)CH(CH2CH3)CH2CH3
-3.7,OHC(=O)CH(CH3)C[11]=CHC(=CHCH=CH@11)C(=O)C[23]=CHCH=CHCH=CH@23
-3.99,OHC(=O)CH(CH3)C[11]=CHCH=C(CH=CH@11)CH2CH(CH3)CH3
0.28,OHC(=O)CH(CH3)CH3
-2.48,OHC(=O)CH=[S=N]CHC[9]=CHCH=CHCH=CH@9
-1.77,OHC(=O)CH=[S=I]CHCH=[S=I]CHCH3
-2.48,OHC(=O)CH=[S=I]CHC[9]=CHCH=CHCH=CH@9
-1.77,OHC(=O)CH=[S=N]CHCH=[S=N]CHCH3
0.38,OHC(=O)C(=O)OH
-6.7,P(=O)(OC[4]=C(CH=CHCH=C@4CH3)OH)(OC[20]=C(CH=CHC(=CH@20)OH)CH3)OC[36]=C(CH=C(CH=CH@36)OH)CH3
0.43,P(=O)(OCH2CH3)(OCH2CH3)OCH2CH3
-4.38,S[1]C[2]=C(C[4]=C@1CH=CHCH=CH@4)CH=CHCH=CH@2
-3.94,S[1]C[2]=C(CH=C(CH=CH@2)CH2C(=O)OH)N(C[19]=C@1CH=CHCH=CH@19)CH3
-3.98,S[1]C[2]=C(CH=C(CH=CH@2)C#N)N(C[14]=C@1CH=CHCH=CH@14)CH2CH2CH2N[33]CH2CH2CH(CH2CH2@33)OH
-4.22,S[1]C[2]=C(CH=C(CH=CH@2)OCH3)N(C[17]=C@1CH=CHCH=CH@17)CH2CH(CH2N(CH3)CH3)CH3
-4.74,S[1]C[2]=C(CH=CHCH=CH@2)N(C[13]=C@1CH=CHCH=CH@13)CH2C[26]HCH2N(CH2CH2CH2@26)CH3
-4.3,S[1]C[2]=C(CH=CHCH=CH@2)N(C[13]=C@1CH=CHCH=CH@13)CH2CH2CH2N(CH3)CH3
-4.26,S[1]C[2]=C(CH=CHCH=CH@2)N(C[13]=C@1CH=CHCH=CH@13)CH2CH(N(CH3)CH3)CH3
-5.41,S[1]C[2]HCH@1CH2C[9]HC(C[12]HCH(C[16]HC(CH(CH2CH2@16)OH)(CH2CH2@12)CH3)CH2CH2@9)(CH2@2)CH3
-2.07,S[1]C[2]N(CH=NN=@2)C[8]=C@1CH=CHCH=C@8CH3
-3.71,S[1]C(=CHCH=CH@1)CH2CH2N[15]CH2CH2C(CH2CH2@15)(N(C[30]=CHCH=CHCH=CH@30)C(=O)CH2CH3)CH2OCH3
-2.59,S[1]C(=CHCH=CH@1)CH2CH3
-2.64,S[1]C(=CHCH=CH@1)CH2N(CH2CH2N(CH3)CH3)C[28]N=CHCH=CHCH=@28
-3.14,S[1]CH2CH2OC(=C@1C(=O)NHC[15]=CHCH=CHCH=CH@15)CH3
-2.43,S[1](CH2CH2OC(=C@1C(=O)NHC[15]=CHCH=CHCH=CH@15)CH3)(=O)=O
-1.77,S[1]CH2C(NHC@1=S)=O
-2.13,S[1]CH2N(CH2N(C@1=S)CH3)CH3
-2.39,S[1]CH=C(CH=CH@1)CH3
-1.47,S[1]CH=C(CH=CH@1)C(=O)OH
-1.45,S[1]CH=CHCH=CH@1
-1.5,S[1]CH=NC[5]=C@1CH=CHCH=CH@5
-3.68,S[1]C(=NC[4]=C@1CH=C(CH=CH@4)CH3)C[17]=CHCH=C(CH=CH@17)NH2
-3.18,S[1]C(=NC[4]=C@1CH=CHCH=CH@4)SH
-0.36,S[1]C(=NCH=CH@1)NH2
-2.68,S[1](N(C(C[4]=C(CH=CHCH=CH@4)NH@1)=O)CH(CH3)CH3)(=O)=O
